what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375045044
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375054380
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375071758
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375074617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1324375083246
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1324375084824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324375094430
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1324375096411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375096842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375096863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375098828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375149016
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324375155250
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1324375155435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375157869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375194361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375215228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375217244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375409543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375508374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375593270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375608608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375622613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375657883
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1324375666697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375669324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375671708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375673357
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375675137
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1324375682505
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1324375682827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375689421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375701571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375721798
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1324375722465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375722495
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1324375730091
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375730449
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375731578
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324375735299
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375735538
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324375741407
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375741613
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324375748152
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375748408
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324375753399
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375753580
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324375754471
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375754648
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1324375763594
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1324375764938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324375768244
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1324375768515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324375782088
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1324375782609
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324375786520
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375786689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375792761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375801401
activated,editor,org.eclipse.cdt.make.ui,7.1.0.201106081058,"org.eclipse.cdt.make.editor",1324375802854
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375804653
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375805267
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1324375813582
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1324375813869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324375814572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375819548
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375820692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375820700
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1324375825012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1324375825698
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324375826932
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375828901
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324375830327
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1324375831715
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375832079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375832294
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324375835136
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375837253
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324375840927
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375841130
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324375843891
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375845003
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1324375845954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324375847543
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1324375847707
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324375850368
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375850536
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324375852527
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375852675
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375862717
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324375865741
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1324375865864
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324375869017
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375869204
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375877843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324375878685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375880753
